País;Tamaño;Área;Seniority;Ubicación;Posición;Moneda;Salario Min;Salario Max
México;Grande;Planta;Dirección;Centro;Director de Almacén;MXN;140000;180000
México;Grande;Planta;Gerencia;Centro;Gerente de Supply Chain;MXN;140000;170000
México;Grande;Planta;Gerencia;Centro;Gerente de Compras;MXN;140000;160000
México;Grande;Planta;Gerencia;Centro;Gerente de Inventarios;MXN;140000;165000
México;Grande;Planta;Gerencia;Centro;Gerente de Mantenimiento;MXN;130000;150000
México;Grande;Planta;Gerencia;Centro;Gerente de Producción;MXN;160000;180000
México;Grande;Planta;Gerencia;Centro;Gerente de Mejora Continua;MXN;105000;125000
México;Grande;Planta;Gerencia;Centro;Gerente de Ingeniería;MXN;130000;150000
México;Grande;Planta;Gerencia;Centro;Gerente de Calidad;MXN;150000;180000
México;Grande;Planta;Gerencia;Centro;Gerente de Materiales;MXN;130000;150000
México;Grande;Planta;Gerencia;Centro;Director de I+D (R&D);MXN;230000;250000
México;Grande;Planta;Gerencia;Centro;Director de Producción;MXN;200000;220000
México;Grande;Planta;Gerencia;Centro;Director de Proyectos;MXN;210000;240000
México;Grande;Planta;Dirección;Centro;Director de Planta;MXN;270000;310000
México;Grande;Planta;Dirección;Centro;Director de Mejora Continua;MXN;210000;230000
México;Grande;Planta;Dirección;Centro;Director de Operaciones;MXN;260000;320000
México;Grande;Planta;Dirección;Centro;Director de Supply Chain;MXN;160000;190000
México;Mediana;Planta;Dirección;Centro;Director de Almacén;MXN;120000;140000
México;Mediana;Planta;Gerencia;Centro;Gerente de Supply Chain;MXN;130000;160000
México;Mediana;Planta;Gerencia;Centro;Gerente de Compras;MXN;120000;140000
México;Mediana;Planta;Gerencia;Centro;Gerente de Inventarios;MXN;110000;140000
México;Mediana;Planta;Gerencia;Centro;Gerente de Mantenimiento;MXN;120000;130000
México;Mediana;Planta;Gerencia;Centro;Gerente de Producción;MXN;140000;160000
México;Mediana;Planta;Gerencia;Centro;Gerente de Mejora Continua;MXN;85000;105000
México;Mediana;Planta;Gerencia;Centro;Gerente de Ingeniería;MXN;110000;120000
México;Mediana;Planta;Gerencia;Centro;Gerente de Calidad;MXN;140000;160000
México;Mediana;Planta;Gerencia;Centro;Gerente de Materiales;MXN;110000;130000
México;Mediana;Planta;Dirección;Centro;Director de I+D (R&D);MXN;210000;240000
México;Mediana;Planta;Dirección;Centro;Director de Producción;MXN;180000;230000
México;Mediana;Planta;Dirección;Centro;Director de Proyectos;MXN;220000;230000
México;Mediana;Planta;Dirección;Centro;Gerente / Director de Planta;MXN;210000;250000
México;Mediana;Planta;Dirección;Centro;Director de Mejora Continua;MXN;190000;210000
México;Mediana;Planta;Dirección;Centro;Director de Operaciones;MXN;210000;270000
México;Mediana;Planta;Dirección;Centro;Director de Supply Chain;MXN;150000;180000
México;Pequeña;Planta;Dirección;Centro;Director de Almacén;MXN;120000;130000
México;Pequeña;Planta;Gerencia;Centro;Gerente de Supply Chain;MXN;120000;140000
México;Pequeña;Planta;Gerencia;Centro;Gerente de Compras;MXN;120000;140000
México;Pequeña;Planta;Gerencia;Centro;Gerente de Inventarios;MXN;110000;130000
México;Pequeña;Planta;Gerencia;Centro;Gerente de Categoría;MXN;115000;130000
